date,market,Paid Search,Paid Social,OTAs,Paid Display,Paid Search_rev,Paid Social_rev,OTAs_rev,Paid Display_rev,total_revenue,conversions,conversions_base
2024-01-07,Azalea,21490.142459033697,14723.471397657631,10971.53280715104,14741.453741534446,55874.37039348762,64783.274149693585,32914.59842145312,48646.79734706367,202219.040311698,2022.19040311698,2022.19040311698
2024-01-14,Azalea,19297.539875829993,14531.726086101638,12368.819223261087,13381.382512475237,50173.60367715798,63939.59477884721,37106.45766978326,44158.56229116828,195378.21841695675,1953.7821841695675,1953.7821841695675
2024-01-21,Azalea,18591.576842195143,16085.12008717193,9304.873460781306,11161.686443573537,48338.099789707376,70774.52838355649,27914.620382343917,36833.56526379267,183860.81381940044,1838.6081381940044,1838.6081381940044
2024-01-28,Azalea,20725.886814698104,11173.439510684404,7412.6232512304505,10987.88244736625,53887.30571821507,49163.133847011384,22237.869753691353,36260.01207630862,161548.32139522643,1615.4832139522644,1615.4832139522644
2024-02-04,Azalea,16961.50663899673,15628.494665190548,8637.963886718184,9457.853337596476,44099.9172613915,68765.37652683842,25913.89166015455,31210.91601406837,169990.10146245285,1699.9010146245284,1699.9010146245284
2024-02-11,Azalea,24396.94630676466,14548.447399026929,10101.292307031887,9435.453264815778,63432.060397588124,64013.16855571849,30303.87692109566,31136.995773892068,188886.10164829434,1888.8610164829433,1888.8610164829433
2024-02-18,Azalea,18366.851826424452,15221.845179419732,8273.509633866546,12676.25643302221,47753.814748703575,66976.11878944683,24820.52890159964,41831.646228973295,181382.10866872332,1813.8210866872332,1813.8210866872332
2024-02-25,Azalea,18198.083930243585,14416.612500413446,9097.440081655905,15334.100732116087,47315.018218633326,63433.09500181917,27292.320244967712,50602.532415983085,188642.9658814033,1886.429658814033,1886.429658814033
2024-03-03,Azalea,19959.5083257862,12884.5781420882,11233.817368154783,9802.48143005216,51894.72164704412,56692.14382518808,33701.45210446435,32348.188719172125,174636.50629586866,1746.3650629586866,1746.3650629586866
2024-03-10,Azalea,20626.590785014265,11080.659752240448,8007.720926652354,12354.350224564423,53629.13604103709,48754.90290985798,24023.162779957063,40769.355741062594,167176.55747191474,1671.7655747191475,1671.7655747191475
2024-03-17,Azalea,22215.39973998623,15342.736562379941,9826.527576417639,11458.01334793928,57760.0393239642,67508.04087447174,29479.582729252914,37811.44404819962,192559.10697588848,1925.591069758885,1925.591069758885
2024-03-24,Azalea,15564.434028897718,13560.311583210583,9309.041843560319,13902.820007194048,40467.528475134066,59665.37096612657,27927.125530680954,45879.306023740355,173939.33099568196,1739.3933099568196,1739.3933099568196
2024-03-31,Azalea,21030.854868705384,11473.919689274531,10486.125954092193,11306.851895250631,54680.222658634004,50485.24663280794,31458.37786227658,37312.61125432708,173936.4584080456,1739.364584080456,1739.364584080456
2024-04-07,Azalea,17969.233999082124,16223.352577681735,11546.499283743926,13676.304214409158,46720.00839761352,71382.75134179964,34639.497851231776,45131.80390755022,197874.06149819517,1978.7406149819517,1978.7406149819517
2024-04-14,Azalea,17482.347430332084,14381.575248297571,10496.895147105346,13755.981228820247,45454.10331886342,63278.931092509316,31490.68544131604,45394.73805510681,185618.4579077956,1856.184579077956,1856.184579077956
2024-04-21,Azalea,18562.47728646413,14628.682046672366,8340.497538990958,9846.828076654792,48262.440944806745,64366.201005358416,25021.49261697287,32494.532652960814,170144.66722009884,1701.4466722009884,1701.4466722009884
2024-04-28,Azalea,22437.577467182593,17712.480057141645,9891.9848176295,13806.359216205643,58337.701414674746,77934.91225142324,29675.9544528885,45560.98541347862,211509.55353246513,2115.0955353246513,2115.0955353246513
2024-05-05,Azalea,21084.908075142903,13709.760490789751,10542.09340826262,14768.465819638745,54820.76099537155,60322.94615947491,31626.280224787864,48735.93720480785,195505.92458444217,1955.0592458444216,1955.0592458444216
2024-05-12,Azalea,19892.521882670146,18129.287311628013,6070.3823438653835,13479.424507875403,51720.55689494238,79768.86417116327,18211.14703159615,44482.10087598883,194182.66897369066,1941.8266897369065,1941.8266897369065
2024-05-19,Azalea,20261.141204714513,14401.985299068265,10137.641164803254,8422.375953718392,52678.967132257734,63368.73531590037,30412.923494409762,27793.840647270692,174254.46658983856,1742.5446658983856,1742.5446658983856
2024-05-26,Azalea,19340.984336487465,15714.225143023494,12216.841067112275,11067.113607107434,50286.55927486741,69142.59062930338,36650.52320133682,36521.47490345453,192601.14800896216,1926.0114800896217,1926.0114800896217
2024-06-02,Azalea,17574.519191320436,13996.485912830927,11373.103176553112,12591.751997387431,45693.74989743314,61584.538016456085,34119.30952965934,41552.78159137852,182950.3790349271,1829.503790349271,1829.503790349271
2024-06-09,Azalea,18410.719388698883,16026.534866226712,10145.616324022061,13743.560982959201,47867.8704106171,70516.75341139754,30436.848972066182,45353.751243765364,194175.2240378462,1941.752240378462,1941.752240378462
2024-06-16,Azalea,17893.840718367945,14344.675706804464,9411.837770301763,9365.673093362188,46523.98586775666,63116.57310993965,28235.51331090529,30906.721208095216,168782.7934966968,1687.827934966968,1687.827934966968
2024-06-23,Azalea,20888.360831193728,15522.110544359779,10007.670184963692,11577.743159924736,54309.73816110369,68297.28639518304,30023.010554891076,38206.55242775162,190836.58753892942,1908.3658753892942,1908.3658753892942
2024-06-30,Azalea,15753.887773848757,14158.709354469282,9485.928225209846,10555.900915401086,40960.10821200677,62298.32115966485,28457.784675629537,34834.47302082358,166550.68706812474,1665.5068706812474,1665.5068706812474
2024-07-07,Azalea,19516.142865001973,15808.101713629077,12829.278851815796,12314.24006309731,50741.971449005134,69555.64753996795,38487.836555447386,40636.99220822112,199422.44775264157,1994.2244775264157,1994.2244775264157
2024-07-14,Azalea,20772.651172168295,14851.108168467665,7121.843177051438,11952.27502419141,54008.89304763757,65344.87594125773,21365.529531154316,39442.50757983165,180161.80609988124,1801.6180609988123,1801.6180609988123
2024-07-21,Azalea,20180.69062982308,19926.484224970573,9711.458552828317,12542.785216200502,52469.79563754001,87676.53058987053,29134.37565848495,41391.19121346166,210671.89309935714,2106.7189309935716,2106.7189309935716
2024-07-28,Azalea,19895.86469088427,12662.643924760936,11714.23422177253,13353.479458836193,51729.24819629911,55715.63326894812,35142.70266531759,44066.482214159434,186654.06634472427,2183.852576233274,1866.5406634472427
2024-08-04,Azalea,22373.09584112914,13181.225090410522,12104.191466404149,9476.668086973894,58170.049186935765,57997.3903978063,36312.57439921245,31273.004687013847,183753.01867096836,2149.9103184503297,1837.5301867096837
2024-08-11,Azalea,21760.57128140081,19380.911251619957,8514.195512303968,10980.66408671501,56577.485331642114,85276.00950712782,25542.586536911906,36236.191486159536,203632.27286184137,2382.497592483544,2036.3227286184137
2024-08-18,Azalea,20298.954095262925,13993.0486917676,7674.004853400801,12123.41335465085,52777.280647683605,61569.41424377745,23022.014560202402,40007.2640703478,177375.97352201125,2075.2988902075317,1773.7597352201126
2024-08-25,Azalea,16813.088858821684,15947.184861270363,8620.863648649296,14789.881929031571,43714.03103293638,70167.6133895896,25862.590945947886,48806.61036580418,188550.84573427803,2206.0448950910527,1885.5084573427803
2024-09-01,Azalea,17650.24012299129,14355.876967588649,11220.275826054505,9784.444230418881,45890.62431977736,63165.85865739006,33660.82747816351,32288.665960382306,175005.97641571326,2047.569924063845,1750.0597641571326
2024-09-08,Azalea,20682.37980381239,17614.285508564855,7588.775148158158,12332.340945358148,53774.18748991221,77502.85623768537,22766.325444474474,40696.72511968188,194740.09429175392,2278.459103213521,1947.4009429175392
2024-09-15,Azalea,20779.648382745272,16563.64574355462,8144.573933682877,9623.178096448302,54027.08579513771,72880.04127164034,24433.721801048632,31756.487718279397,183097.33658610607,2142.238838057441,1830.9733658610608
2024-09-22,Azalea,21565.824696850694,15593.969346466372,10375.739275518816,12623.606777094556,56071.14421181181,68613.46512445205,31127.217826556447,41657.90236441203,197469.72952723232,2310.3958354686183,1974.6972952723233
2024-09-29,Azalea,17959.925835264527,15464.507394322007,10439.608709948021,10714.167447552538,46695.80717168777,68043.83253501683,31318.826129844063,35356.752576923376,181415.21841347203,2122.5580554376224,1814.1521841347203
2024-10-06,Azalea,25597.323533434268,15947.665841823575,8213.044754196027,13181.796495540893,66553.0411869291,70169.72970402373,24639.134262588082,43499.92843528494,204861.83358882586,2396.8834529892624,2048.6183358882586
2024-10-13,Azalea,17075.954989318037,16574.169207484905,11737.893368511106,10522.77182696692,44397.4829722269,72926.34451293359,35213.68010553332,34725.14702899083,187262.65461968468,2190.9730590503104,1872.6265461968467
2024-10-20,Azalea,22890.128387732966,15825.561853872996,11233.090239991736,15414.227368777105,59514.333808105715,69632.4721570412,33699.270719975204,50866.950316964445,213713.02700208654,2500.442415924412,2137.1302700208653
2024-10-27,Azalea,19263.835651991387,13492.527671285021,8665.728355561714,10531.541487062212,50085.97269517761,59367.12175365409,25997.185066685142,34754.086907305296,170204.36642282215,1991.3910871470189,1702.0436642282214
